can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90
True,True,,,499169,0,0,-3,3,0,2,1.7,1.7,1,Myles,0.7,10,False,,,52,499169.jpg,0.8,False,Lewis-Skelly,1.7,False,,a,1,3,5,48637,2834,341895,6789,0.1,1.0,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,85,0,0,0,0,0,0,0,1,0,0,0,16,7.8,7.2,4.0,1.8,3,7,1,4,0,0.00,0.00,0.00,0.94,394,145,349,119,355,127,399,141,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,228,32,307,104,429,145,141,55,0.0,0.0,4.24
True,True,100.0,100.0,198869,0,0,-1,1,0,2,1.0,1.0,0,Benjamin,0.0,11,False,,2025-09-18T04:00:07.778280Z,54,198869.jpg,6.0,False,White,0.4,False,,a,1,3,6,30569,1019,88806,1771,0.0,1.1,White,241.0,2021-07-30,1997-10-08,False,p198869,70,0,0,1,0,0,0,0,0,0,0,0,23,15.4,11.3,1.0,2.8,6,4,2,8,1,0.01,0.01,0.02,0.87,369,136,327,114,374,134,386,136,,,,,,,0.01,0.0,0.01,0.02,1.12,0.0,167,20,707,242,9,7,261,100,1.29,1.29,10.29
True,True,,,563324,0,0,-1,1,0,2,1.0,1.0,0,Brayden,0.0,13,False,,,39,563324.jpg,0.0,False,Clarke,0.5,False,,a,1,3,0,27060,606,46283,2123,0.0,0.0,Clarke,,,,False,p563324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,462,175,444,174,411,164,462,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,735,236,415,160,471,177,242,88,0.0,0.0,0.0
True,False,0.0,0.0,588793,0,0,-1,1,0,2,0.0,0.0,0,Maldini,0.0,14,False,has joined Morecambe on loan for the rest of the season.,2025-09-22T21:14:30.857843Z,39,588793.jpg,0.0,False,Kacurri,0.1,False,,u,1,3,0,10218,0,18440,675,0.0,0.0,Kacurri,,,,False,p588793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,466,178,448,177,415,167,466,177,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,740,240,419,163,475,180,420,157,0.0,0.0,0.0
True,True,,,499167,0,0,-1,1,0,2,1.0,1.0,0,Josh,0.0,15,False,,,39,499167.jpg,0.0,False,Nichols,0.2,False,,a,1,3,0,12960,137,16194,927,0.0,0.0,Nichols,241.0,2024-07-24,2006-07-26,False,p499167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,450,164,432,163,399,153,450,163,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722,224,402,148,459,166,364,130,0.0,0.0,0.0
True,True,100.0,100.0,223340,0,0,0,0,0,3,7.0,7.0,3,Bukayo,6.0,16,False,,2025-08-23T22:30:05.759392Z,100,223340.jpg,4.3,False,Saka,17.0,False,,a,1,3,30,2013862,122814,1820478,46801,0.6,3.0,Saka,241.0,2018-11-28,2001-09-05,False,p223340,501,2,0,4,1,0,0,0,0,0,0,2,109,132.2,196.3,143.0,47.1,2,32,9,43,6,1.31,2.01,3.32,3.57,115,40,27,23,42,23,28,21,1.0,,4.0,,1.0,,0.24,0.0,0.36,0.6,0.64,0.18,5,3,30,13,64,26,23,8,1.08,0.72,7.72
True,True,0.0,0.0,184029,0,0,-1,1,0,3,0.0,0.0,0,Martin,0.3,17,False,Knee injury - Unknown return date,2025-10-04T20:00:07.945438Z,79,184029.jpg,2.2,False,Ødegaard,1.4,False,,i,1,3,13,133050,82,403166,7124,0.0,1.6,Ødegaard,161.0,2021-08-20,1998-12-17,False,p184029,201,0,1,1,1,0,0,0,0,0,0,0,47,43.0,65.0,22.0,13.0,6,10,3,19,4,0.14,0.81,0.95,2.36,289,128,146,99,261,144,262,132,3.0,,2.0,,3.0,,0.06,0.0,0.36,0.42,1.06,0.45,17,12,378,179,251,113,152,52,1.79,0.45,8.51
True,True,0.0,0.0,248857,-1,1,-2,2,0,3,0.0,0.0,0,Noni,0.0,18,False,Knee injury - Unknown return date,2025-09-21T22:30:05.839272Z,68,248857.jpg,2.0,False,Madueke,0.6,False,,i,1,3,10,148906,59,221740,2922,0.0,1.5,Madueke,241.0,2025-07-18,2002-03-10,False,p248857,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,1,10,3,14,4,0.29,0.86,1.15,2.04,322,145,68,50,64,37,141,74,,,,,,,0.09,0.0,0.25,0.34,0.6,0.59,44,28,738,327,279,132,217,71,1.18,0.59,4.14
True,True,75.0,,444145,0,0,-1,1,0,3,1.5,2.0,1,Gabriel,1.0,19,False,Knock - 75% chance of playing,2025-10-28T21:00:08.076588Z,69,444145.jpg,2.0,False,Martinelli Silva,1.1,False,,d,1,3,16,91268,3858,139243,10810,0.1,2.3,Martinelli,30.0,2019-07-15,2001-06-18,False,p444145,214,1,0,1,0,0,0,0,0,0,0,1,56,51.0,30.6,93.0,17.5,3,10,3,16,2,0.75,0.08,0.83,1.97,266,118,241,146,80,46,212,109,,,,,,,0.32,0.0,0.03,0.35,0.83,0.0,41,25,281,138,280,133,171,60,0.84,0.42,6.73
True,True,100.0,100.0,116216,0,0,-1,1,0,3,6.3,6.3,3,Leandro,5.3,20,False,,2025-08-29T18:30:07.885490Z,69,116216.jpg,3.6,False,Trossard,0.4,False,,a,1,3,25,34888,6814,31178,2457,0.8,3.6,Trossard,21.0,2023-01-20,1994-12-04,False,p116216,462,1,1,3,2,0,0,0,0,0,0,2,82,81.4,107.7,146.0,33.5,6,14,3,23,5,1.60,0.69,2.29,2.80,203,86,70,52,39,21,86,50,,,,,4.0,,0.31,0.0,0.13,0.44,0.55,0.39,38,23,40,16,114,46,251,86,0.97,0.58,4.48
True,True,100.0,100.0,204480,1,-1,2,-2,1,3,8.0,8.0,7,Declan,7.0,21,True,,2025-10-04T20:00:07.968078Z,67,204480.jpg,5.6,False,Rice,13.8,False,,a,1,3,50,1247511,195267,624633,26688,1.0,7.5,Rice,241.0,2023-07-15,1999-01-14,False,p204480,713,1,4,5,3,0,0,0,0,0,0,7,191,193.2,266.7,72.0,53.2,20,34,9,63,8,0.87,1.85,2.72,4.59,49,16,6,6,109,65,18,13,2.0,,1.0,,,,0.11,0.0,0.23,0.34,0.58,0.38,47,31,12,6,19,6,31,13,1.01,0.63,7.95
True,True,,,195384,0,0,-1,1,0,3,2.0,2.0,1,Mikel,1.0,22,False,,,59,195384.jpg,2.1,False,Merino Zazón,0.6,False,,a,1,3,17,77106,1883,95127,6098,0.2,2.9,Merino,200.0,2024-08-27,1996-06-22,False,p195384,278,1,0,2,1,0,0,0,0,0,0,0,61,73.0,45.1,68.0,18.3,9,17,7,33,3,0.34,0.13,0.47,1.78,216,93,195,125,116,71,210,107,,,,,,,0.11,0.0,0.04,0.15,0.58,0.32,98,65,275,133,257,116,225,75,0.97,0.65,10.68
True,False,0.0,0.0,438098,0,0,-1,1,0,3,0.0,0.0,0,Fábio,0.0,23,False,has joined Hamburger on loan for the rest of the season.,2025-09-02T13:38:06.128321Z,54,438098.jpg,0.0,False,Ferreira Vieira,0.0,False,,u,1,3,0,933,0,4215,34,0.0,0.0,Fábio Vieira,173.0,2022-06-21,2000-05-30,False,p438098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,722,316,722,317,718,316,723,317,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,177,109,711,309,724,317,652,271,0.0,0.0,0.0
True,True,100.0,100.0,128295,-1,1,-3,3,0,3,1.3,1.3,0,Christian,0.3,24,False,,2025-08-18T08:00:05.297235Z,52,128295.jpg,1.0,False,Nørgaard,0.1,False,,a,1,3,1,3688,170,54383,572,0.1,0.2,Nørgaard,58.0,2025-07-10,1994-03-10,False,p128295,1,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,1,1,0,2,0,0.00,0.00,0.00,0.00,427,201,713,312,707,310,429,202,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,216,135,360,169,399,190,402,133,0.0,0.0,180.0
True,True,,,499175,0,0,-3,3,0,3,1.3,1.3,0,Ethan,0.3,25,False,,,52,499175.jpg,1.5,False,Nwaneri,0.2,False,,a,1,3,6,9856,276,28449,877,0.1,1.2,Nwaneri,241.0,2022-09-17,2007-03-21,False,p499175,145,0,0,1,0,0,0,0,0,0,0,0,15,8.2,22.0,21.0,5.0,1,7,1,9,0,0.19,0.08,0.27,0.33,390,183,275,158,266,145,352,169,4.0,,3.0,,,,0.12,0.0,0.05,0.17,0.2,0.0,229,143,361,170,319,151,398,132,0.0,0.62,5.59
True,True,,,481655,0,0,0,0,1,3,4.7,4.7,5,Martín,3.7,26,False,,,55,481655.jpg,4.4,False,Zubimendi Ibáñez,3.8,False,,a,1,3,40,582678,17295,414564,31173,0.7,7.3,Zubimendi,200.0,2025-07-06,1999-02-02,False,p481655,771,2,0,6,3,0,0,0,1,0,0,3,167,170.8,126.3,47.0,34.5,27,30,17,74,8,0.26,0.89,1.15,4.89,72,23,60,46,170,99,78,47,,,,,,,0.03,0.0,0.1,0.13,0.57,0.35,151,96,91,37,57,22,88,29,0.93,0.7,8.64
True,False,0.0,0.0,588796,0,0,0,0,0,3,0.0,0.0,0,Ismeal,0.0,28,False,has joined Shrewsbury Town on loan for the rest of the season.,2025-09-02T13:24:41.013511Z,45,588796.jpg,0.0,False,Kabia,0.1,False,,u,1,3,0,6731,0,27153,467,0.0,0.0,Kabia,152.0,2024-09-14,2005-12-10,False,p588796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,655,271,648,271,629,262,656,272,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,470,282,623,252,664,276,428,146,0.0,0.0,0.0
True,False,0.0,0.0,437742,0,0,0,0,0,3,0.0,0.0,0,Albert,0.0,29,False,has joined Hamburger permanently.,2025-09-02T13:40:53.094922Z,45,437742.jpg,0.0,False,Sambi Lokonga,0.1,False,,u,1,3,0,2952,0,12761,214,0.0,0.0,Sambi,21.0,2021-07-19,1999-10-22,False,p437742,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,615,239,607,239,588,230,616,240,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,420,248,583,220,624,244,542,198,0.0,0.0,0.0
True,True,0.0,0.0,219847,0,0,-2,2,0,4,0.0,0.0,0,Kai,0.0,30,False,Knee injury - Unknown return date,2025-08-20T13:00:06.498911Z,73,219847.jpg,1.0,False,Havertz,0.3,False,,i,1,3,1,8868,81,108219,504,0.0,0.1,Havertz,80.0,2023-06-28,1999-06-11,False,p219847,30,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,1,2,0,3,0,0.00,0.01,0.01,0.82,416,45,392,46,372,49,420,49,,,,,,,0.0,0.0,0.03,0.03,2.46,0.0,27,11,742,81,421,53,286,46,0.0,0.0,9.0
True,True,0.0,0.0,205651,0,0,-1,1,0,4,0.0,0.0,0,Gabriel,0.0,31,False,Knee injury - Expected back 30 Dec,2025-07-21T10:00:04.697564Z,64,205651.jpg,0.0,False,Fernando de Jesus,0.0,False,,i,1,3,0,1126,74,3609,86,0.0,0.0,G.Jesus,30.0,2022-07-04,1997-04-03,False,p205651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,738,79,738,79,738,79,738,79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,64,21,734,77,738,79,601,75,0.0,0.0,0.0
True,True,,,232413,0,0,1,-1,1,3,7.7,7.7,11,Eberechi,6.7,266,False,,,76,232413.jpg,4.5,False,Eze,14.0,False,,a,1,3,36,1504405,101147,1127440,37014,0.9,4.7,Eze,241.0,2025-08-23,1998-06-29,False,p232413,542,1,3,5,2,0,0,0,0,0,0,3,123,119.0,87.8,165.0,37.2,6,19,6,31,6,1.44,0.89,2.33,3.74,139,50,100,73,28,14,66,42,1.0,,1.0,,1.0,,0.24,0.0,0.15,0.39,0.62,0.33,21,14,16,7,54,20,30,12,1.0,0.83,5.15
True,True,,,500040,0,0,-1,1,0,2,1.3,1.3,1,Cristhian,0.3,662,False,,,54,500040.jpg,2.2,False,Mosquera,0.2,False,,a,1,3,13,23314,908,24703,1142,0.1,2.4,Mosquera,200.0,2025-07-24,2004-06-27,False,p500040,292,0,0,1,2,0,0,0,0,0,0,1,64,67.0,13.4,8.0,8.9,20,13,8,28,2,0.00,0.09,0.09,1.52,227,90,316,110,314,105,309,105,,,,,,,0.0,0.0,0.03,0.03,0.47,0.62,185,25,369,130,241,90,380,138,0.62,0.31,8.63
True,True,,,224117,0,0,0,0,1,4,3.0,3.0,2,Viktor,2.0,666,False,,,90,224117.jpg,3.3,False,Gyökeres,21.8,False,,a,1,3,30,2331340,75098,2697643,169890,0.2,3.3,Gyökeres,206.0,2025-07-26,1998-06-04,False,p224117,756,3,0,5,3,0,0,0,1,0,0,2,104,121.6,73.4,275.0,46.9,7,18,2,27,9,3.58,0.49,4.07,4.39,136,13,126,10,5,4,30,6,,,,,2.0,,0.43,0.0,0.06,0.49,0.52,0.36,6,3,190,21,134,13,18,4,1.07,0.6,3.21
True,True,,,616077,0,0,-1,1,0,3,1.0,1.0,0,Max,0.0,700,False,,,44,616077.jpg,2.5,False,Dowman,0.3,False,,a,1,3,5,76502,1434,51278,3678,0.0,1.1,Dowman,241.0,2025-07-22,2009-12-31,False,p616077,27,0,1,0,0,0,0,0,0,0,0,0,13,1.0,0.8,26.0,2.8,0,1,2,3,0,0.14,0.02,0.16,0.12,425,200,388,195,242,134,385,181,,,,,,,0.47,0.0,0.07,0.54,0.4,0.0,573,325,567,210,207,88,307,105,0.0,0.0,10.0
True,True,,,646243,0,0,0,0,0,3,1.0,1.0,0,Andre,0.0,711,False,,,45,646243.jpg,0.0,False,Harriman-Annous,0.0,False,,a,1,3,0,1024,20,744,47,0.0,0.0,Harriman-Annous,241.0,2025-07-22,2007-12-28,False,p646243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,669,283,661,282,643,274,670,284,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,487,295,636,264,674,285,691,297,0.0,0.0,0.0
True,True,100.0,100.0,448104,0,0,-1,1,0,2,1.3,1.3,1,Piero,0.3,725,False,,2025-09-24T06:00:06.296709Z,54,448104.jpg,1.0,False,Hincapié,0.0,False,,a,1,3,1,4029,266,3576,158,0.1,0.2,Hincapie,62.0,2025-09-01,2002-01-09,False,p448104,8,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.3,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.01,724,246,405,147,720,245,725,246,,,,,,,0.0,0.0,0.0,0.0,0.11,0.0,181,24,367,129,408,138,634,217,0.0,0.0,0.0
True,True,100.0,100.0,98980,0,0,0,0,1,1,3.2,3.2,8,Emiliano,3.7,32,False,,2025-10-03T14:00:08.570704Z,50,98980.jpg,3.6,False,Martínez Romero,2.0,False,,a,2,7,25,187678,6161,153771,5700,0.7,5.0,Martinez,10.0,2020-09-16,1992-09-02,False,p98980,630,0,0,2,5,0,0,0,1,0,15,1,118,129.8,3.0,0.0,13.2,7,61,0,0,7,0.00,0.03,0.03,7.61,120,16,372,9,685,77,255,15,,,,,,,0.0,2.14,0.0,0.0,1.09,0.71,244,9,86,9,108,10,129,17,1.0,0.29,0.0
True,True,,,72147,-1,1,-2,2,0,1,-0.5,-0.5,0,Marco,0.0,33,False,,,43,72147.jpg,3.5,False,Bizot,0.5,False,,a,2,7,7,75265,149,90734,1882,0.0,1.6,M.Bizot,152.0,2025-07-15,1991-03-10,False,p72147,180,0,0,1,3,0,0,0,1,0,4,0,22,25.4,0.0,0.0,2.6,4,19,0,0,2,0.00,0.00,0.00,4.10,337,27,530,63,500,51,388,27,,,,,,,0.0,2.0,0.0,0.0,2.05,1.5,580,33,499,70,115,11,232,32,1.0,0.5,0.0
True,False,0.0,0.0,462492,0,0,0,0,0,1,0.0,0.0,0,Joe,0.0,34,False,Has joined Port Vale on loan for the rest of the season.,2025-08-12T07:40:37.843391Z,40,462492.jpg,0.0,False,Gauci,0.1,False,,u,2,7,0,0,0,13358,281,0.0,0.0,Gauci,13.0,2024-02-01,2000-07-04,False,p462492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,504,59,489,45,457,33,505,59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,652,63,458,52,514,59,427,65,0.0,0.0,0.0
True,False,0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,35,False,Has joined Stevenage permanently.,2025-07-30T14:08:21.698398Z,40,462381.jpg,0.0,False,Marschall,0.0,False,,u,2,7,0,0,0,992,20,0.0,0.0,Marschall,241.0,2021-12-13,2003-04-24,False,p462381,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,503,58,488,44,456,32,504,58,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,651,62,457,51,513,58,693,81,0.0,0.0,0.0
True,True,,,199796,0,0,1,-1,2,2,5.8,5.8,15,Matty,6.3,36,False,,,46,199796.jpg,5.1,False,Cash,5.0,False,,a,2,7,46,659094,35486,397545,12680,1.4,10.0,Cash,172.0,2020-09-03,1997-08-07,False,p199796,786,2,0,3,7,0,0,0,2,0,0,5,158,204.8,122.3,40.0,36.9,37,23,16,53,9,0.18,0.66,0.84,10.78,42,17,64,16,200,50,67,16,,,,,,,0.02,0.0,0.08,0.1,1.23,0.8,387,68,17,7,28,16,71,23,1.03,0.34,6.07
True,True,100.0,50.0,101188,0,0,0,0,0,2,3.5,1.8,6,Lucas,4.0,37,False,,2025-10-23T13:30:07.954318Z,45,101188.jpg,3.6,False,Digne,1.6,False,,a,2,7,32,120763,2760,153630,8908,0.9,7.1,Digne,73.0,2022-01-13,1993-07-20,False,p101188,653,0,2,3,4,0,0,0,2,0,0,0,138,120.6,149.8,58.0,32.7,19,22,12,31,8,0.27,1.20,1.47,8.24,137,60,48,9,143,29,92,28,7.0,,2.0,,,,0.04,0.0,0.17,0.21,1.14,0.55,393,71,75,32,107,47,144,57,1.1,0.41,4.27
True,True,100.0,100.0,199798,-1,1,-1,1,0,2,3.5,3.5,8,Ezri,4.0,38,False,,2025-08-16T19:30:05.327199Z,44,199798.jpg,3.2,False,Konsa Ngoyo,8.8,False,,a,2,7,26,223703,7407,1438909,29212,0.9,5.9,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,695,0,0,3,7,0,0,0,0,1,0,0,132,148.6,25.8,27.0,20.1,40,25,4,44,8,0.04,0.09,0.13,10.18,94,45,255,82,239,67,187,60,,,,,,,0.01,0.0,0.01,0.02,1.32,0.91,506,118,74,31,135,53,44,14,1.04,0.39,5.7
True,True,,,441302,0,0,-2,2,0,2,0.5,0.5,1,Ian,1.0,39,False,,,43,441302.jpg,0.8,False,Maatsen,0.5,False,,a,2,7,5,19261,565,65410,1684,0.2,1.2,Maatsen,152.0,2024-06-28,2002-03-10,False,p441302,154,0,0,0,4,0,0,0,1,0,0,0,31,44.0,67.2,14.0,12.6,13,12,4,17,1,0.15,0.20,0.35,3.48,284,107,140,34,286,89,268,91,,,,,,,0.09,0.0,0.12,0.21,2.03,2.34,592,150,252,84,425,141,245,91,0.58,0.0,9.94
